,Submission ID,taste,Gender,most_expensive_purchase_cat,num_cups_daily,coffee_location,fav_drink,age,is_espresso,pref_roast,whole_milk,skim_milk,half_and_half,creamer,flav_creamer,oat_milk,almond_milk,soy_milk,other_dairy,sugar,art_sweet,honey,maple_syrup,stevia,agave_nectar,brown_sugar,raw_sugar,ethnicity,employment_status
10,ylqbBg,Floral,Male,0,2,"At home, At the office, At a cafe, On the go",Regular drip coffee,45-54 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other (please specify),Employed full-time
11,qbEQPO,Fruity,,,3,"At the office, At home, At a cafe",Pourover,18-24 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
12,9dJ0O5,Fruity,,,2,"At home, At the office, At a cafe",Cortado,25-34 years old,True,Light,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
13,BGboZR,Full Bodied,,,3,"At home, At a cafe, On the go",Espresso,18-24 years old,True,Light,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
14,0Ej0GZ,Nutty,,,1,"At the office, At a cafe, At home",Cappuccino,35-44 years old,True,Medium,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
15,WApbkQ,Floral,Male,0,2,"At a cafe, At home",Cappuccino,35-44 years old,True,Blonde,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Black/African American,Unemployed
16,BGbJzQ,Chocolatey,,,1,"At home, At the office, On the go",Latte,35-44 years old,True,Light,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
17,bl41Zg,Sweet,Male,1,0,At a cafe,Iced coffee,45-54 years old,False,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
18,GrBVrk,Chocolatey,,,1,On the go,Cold brew,25-34 years old,False,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
19,jB98xY,Nutty,,,0,On the go,Espresso,35-44 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
20,LdMxB2,Full Bodied,,,2,"At the office, At home, On the go",Iced coffee,35-44 years old,False,Medium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
21,5dqajd,Fruity,Male,0,5,"At home, At a cafe",Cappuccino,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
22,VZ1W0E,Bold,Male,1,5,"At home, At a cafe",Espresso,35-44 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
23,6dQY8o,Juicy,Male,1,2,"At home, At a cafe, On the go, At the office",Cappuccino,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Employed full-time
24,OABqQp,Sweet,Male,0,2,"On the go, At a cafe, At the office",Latte,35-44 years old,True,Medium,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,White/Caucasian,Employed full-time
25,jB9r21,Chocolatey,Male,1,1,"At home, At a cafe",Latte,25-34 years old,True,Medium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
26,pLPYLE,Caramalized,Male,1,2,"At the office, On the go",Iced coffee,25-34 years old,False,Light,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
27,bl41kE,Nutty,Male,1,2,"At home, At a cafe, On the go",Pourover,25-34 years old,False,Light,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
28,xdN8Q9,Fruity,Male,1,2,"At home, At a cafe, On the go",Pourover,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
29,dY2JPN,Nutty,Male,0,2,"At home, At a cafe",Pourover,18-24 years old,False,Light,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
30,xdNbJ9,Fruity,Male,1,1,"At home, On the go, At the office, At a cafe",Espresso,25-34 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
31,EPbVLl,Full Bodied,,,2,"At home, At the office, On the go",Regular drip coffee,45-54 years old,False,Italian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
32,pLPNQJ,Chocolatey,Female,0,1,"At home, On the go",Pourover,35-44 years old,False,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Employed full-time
33,AlbMLW,Bright,Male,1,2,"At home, At a cafe",Iced coffee,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
34,ylq8yW,Full Bodied,Male,1,3,"At home, At the office, On the go, At a cafe",Americano,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Employed full-time
35,RzBqLv,Full Bodied,Male,1,5,"At home, At the office, At a cafe",Espresso,25-34 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
36,oAV8d5,Nutty,Male,0,3,"At home, At a cafe",Americano,35-44 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
37,42N0Kd,Full Bodied,Male,1,2,"At home, At the office, At a cafe",Latte,18-24 years old,True,Medium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
38,rlrQQo,Nutty,Female,1,1,"At home, On the go, At a cafe",Latte,35-44 years old,True,Dark,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other (please specify),Employed full-time
39,OABxLk,Fruity,Male,1,1,"At a cafe, At home",Iced coffee,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Student
40,8dpbGk,Floral,Male,1,2,"At home, At a cafe",Espresso,25-34 years old,True,Nordic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
41,KMBroK,Caramalized,Female,0,0,"At home, On the go",Latte,25-34 years old,True,Medium,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
42,9dJYM1,Bright,Male,1,4,"At home, At the office, On the go, At a cafe",Americano,55-64 years old,True,French,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
43,kYR4rj,Full Bodied,Male,0,2,"At home, At the office, At a cafe, On the go",Americano,25-34 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other (please specify),Employed full-time
44,pLPN7q,Juicy,Male,1,1,"At home, At a cafe",Pourover,35-44 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Employed full-time
45,42NlLd,Caramalized,Male,0,2,"At home, At a cafe",Regular drip coffee,25-34 years old,False,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
46,LdMxaj,Fruity,Male,1,2,"At home, At a cafe",Cortado,25-34 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
47,LdMjqJ,Nutty,Male,1,5,On the go,Iced coffee,35-44 years old,False,Light,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
48,eBxGvE,Fruity,Non-binary,1,5,"At home, On the go, At a cafe, At the office",Pourover,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
49,g5NPYO,Chocolatey,Male,1,3,"At a cafe, At the office, On the go, At home",Cappuccino,25-34 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
50,xdNbxo,Full Bodied,Female,1,2,"At home, At a cafe",Espresso,45-54 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Unemployed
51,zKQ8ZZ,Fruity,Male,1,3,"At home, On the go, At a cafe, At the office",Pourover,35-44 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
52,rlrQxl,Fruity,Other,1,2,"At the office, At home, At a cafe",Regular drip coffee,25-34 years old,False,Light,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
53,VZ1W8N,Chocolatey,,0,2,"At home, At a cafe",Latte,25-34 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
54,WAp6PN,Full Bodied,Male,1,2,"At the office, At home, At a cafe, On the go",Pourover,25-34 years old,False,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hispanic/Latino,Student
55,DVvo9l,Caramalized,Male,0,3,"On the go, At home",Espresso,25-34 years old,True,Medium,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,White/Caucasian,Employed full-time
56,EPbo0L,Full Bodied,Male,1,5,"At the office, At home, On the go",Iced coffee,35-44 years old,False,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Employed full-time
57,ylqAY6,Full Bodied,Male,0,1,"At home, At a cafe",Regular drip coffee,25-34 years old,False,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
58,EPbVxA,Juicy,Female,1,0,"At a cafe, At home",Cortado,18-24 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
59,BGboo4,Fruity,Male,0,2,"At home, At a cafe",Americano,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
60,dY2GGD,Chocolatey,Female,1,0,On the go,Mocha,25-34 years old,True,Dark,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
61,0EjzA9,Bright,Male,1,2,"On the go, At home, At a cafe",Latte,35-44 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed part-time
62,vNx6YX,Nutty,Female,1,2,"At home, On the go, At the office",Latte,25-34 years old,True,Medium,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
63,VZ1WVN,Juicy,Male,0,0,"At home, At a cafe",Cappuccino,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
64,1r2QM4,Fruity,Male,1,1,"At home, At a cafe",Pourover,25-34 years old,False,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
65,LdM4d2,Nutty,Female,0,2,"At the office, On the go",Latte,25-34 years old,True,Medium,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Employed full-time
66,42N0dB,Fruity,Male,0,3,"At the office, At a cafe",Iced coffee,35-44 years old,False,Medium,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
67,5dq0yE,Fruity,Male,0,3,"At the office, At home, On the go",Espresso,35-44 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
68,9dJY7E,Chocolatey,Male,0,2,"At home, At a cafe, At the office",Iced coffee,25-34 years old,False,Medium,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
69,GrBEvo,Bright,Male,1,3,"At home, At a cafe, At the office",Cortado,25-34 years old,True,Light,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
70,rlrQrv,Caramalized,Female,0,2,"At home, On the go",Pourover,25-34 years old,False,Medium,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Employed full-time
71,LdMxpz,Fruity,Male,1,2,"At the office, At home, On the go",Americano,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
72,XeB72d,Full Bodied,Male,0,1,"At home, At a cafe, On the go",Latte,18-24 years old,True,Light,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Unemployed
73,zKQBXq,Full Bodied,Male,0,2,"At home, At a cafe",Cortado,25-34 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
74,dY2GNy,Chocolatey,Female,0,1,"At home, At a cafe",Cappuccino,25-34 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Student
75,zKQA18,Sweet,Non-binary,1,0,"On the go, At home",Blended drink (e.g. Frappuccino),18-24 years old,False,Medium,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Student
76,ZdRAAV,Bright,Male,0,3,"At home, On the go",Pourover,35-44 years old,False,Light,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
77,VZ17Ev,Fruity,Female,1,1,"At a cafe, At the office, At home",Cappuccino,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Employed full-time
78,NAB2Ab,Fruity,Male,0,3,"At a cafe, At home",Pourover,25-34 years old,False,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Employed full-time
79,AlbRKW,Floral,Male,1,1,"At a cafe, At the office, At home",Espresso,35-44 years old,True,Medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
80,dY2o6d,Chocolatey,,,1,"At the office, On the go, At a cafe, At home",Latte,25-34 years old,True,Dark,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
81,oAVN61,Bright,Male,0,2,"At home, At a cafe, At the office, On the go",Latte,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asian/Pacific Islander,Employed full-time
82,kYR4Nr,Fruity,Male,1,2,"At home, At a cafe, On the go, At the office",Latte,18-24 years old,True,Light,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hispanic/Latino,Employed part-time
83,24xYJL,Bright,Male,0,1,"At home, At a cafe",Espresso,18-24 years old,True,Light,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Unemployed
84,rlr9OL,Nutty,Male,1,2,"At home, At a cafe",Cortado,25-34 years old,True,Medium,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
85,PABQdQ,Full Bodied,Female,1,4,"At the office, At home, On the go",Latte,55-64 years old,True,Dark,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
86,1r20NQ,Fruity,Male,1,3,"At the office, At a cafe, At home",Pourover,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
87,7d90RL,Juicy,Male,1,2,"At home, At a cafe",Pourover,18-24 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
88,lNl8WV,Sweet,Female,1,1,"At the office, At a cafe",Latte,18-24 years old,True,Light,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
89,vNxaEA,Juicy,Male,1,2,"At a cafe, On the go, At home",Regular drip coffee,45-54 years old,False,Light,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
90,blx47Z,Bright,,,2,"At home, At a cafe, At the office",Pourover,18-24 years old,False,Light,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
91,DVvo05,Bright,Male,1,2,"At home, On the go",Mocha,18-24 years old,True,Light,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
92,8dpDDk,Fruity,Male,1,1,"At a cafe, At home",Cappuccino,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
93,qA2y0O,Full Bodied,,,2,"At home, At a cafe, On the go",Mocha,18-24 years old,True,French,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
94,rlr82o,Floral,,,3,"At a cafe, At home, At the office, On the go",Cortado,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
95,jB98WY,Chocolatey,Female,1,2,"At the office, At home, On the go",Pourover,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
96,rlr8LX,Chocolatey,Male,0,1,"At home, On the go",Cold brew,45-54 years old,False,Medium,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Asian/Pacific Islander,Employed full-time
97,5dqaeZ,Chocolatey,Male,1,3,"At home, At a cafe",Pourover,25-34 years old,False,Dark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
98,dY2JDV,Floral,Male,0,4,"At home, At a cafe, At the office",Americano,25-34 years old,True,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hispanic/Latino,Employed full-time
99,rlr8vR,Juicy,Male,1,2,"At home, On the go",Pourover,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
100,xdN89d,Fruity,Male,1,3,"At home, At a cafe",Pourover,45-54 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
101,24x9DD,Fruity,,,2,"At a cafe, At home",Regular drip coffee,35-44 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
102,rlr8k2,Fruity,Male,0,1,"At home, On the go",Pourover,35-44 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
103,42NlPr,Full Bodied,Male,1,3,"At a cafe, At the office, On the go, At home",Pourover,25-34 years old,False,Light,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White/Caucasian,Employed full-time
